days_visited_exp_pre,days_visited_free_pre,days_visited_fs_pre,days_visited_hs_pre,days_visited_rs_pre,days_visited_vrs_pre,locale_en_US,revenue_pre,os_type_osx,os_type_windows,easier_signup,became_member,days_visited_post
1,25,20,17,17,28,1,0.02,0,0,0,0,22
11,9,2,5,18,14,1,0.06,0,1,0,0,10
20,4,27,12,27,2,0,961.44,0,1,1,0,0
6,2,25,8,0,19,1,0.42,0,0,0,0,-8
3,5,22,8,2,21,0,76.73,0,0,0,0,11
27,22,28,26,11,6,1,8.94,0,1,1,0,23
0,18,7,9,5,16,0,2.46,0,1,1,1,13
16,13,8,3,23,13,1,0.94,0,0,1,1,17
2,21,2,21,7,26,1,0.32,0,0,0,0,21
11,22,17,24,6,13,0,0.12,0,1,1,0,12
9,14,0,13,25,16,1,7.36,0,1,0,0,15
15,0,25,21,7,19,0,0.7,0,0,0,0,-6
7,4,18,16,26,24,1,1.19,1,0,1,1,3
21,14,5,8,14,7,1,0.1,1,0,1,1,11
28,6,22,26,28,1,1,9.21,0,0,1,1,11
25,16,20,3,15,5,1,0.27,1,0,0,0,5
23,3,13,28,22,12,0,6.94,1,0,0,0,0
9,4,8,27,21,13,1,10.31,1,0,0,0,11
25,23,26,15,5,5,1,13.89,1,0,1,0,16
16,8,7,13,10,28,1,171.49,0,0,1,0,0
12,4,0,15,6,16,0,0.1,0,0,1,0,-5
9,18,5,28,10,9,0,7.31,0,0,0,0,16
25,10,12,26,11,26,1,26.86,0,1,0,0,0
27,23,18,21,26,10,0,0.02,1,0,1,0,3
17,7,28,11,11,4,0,0.38,0,0,0,0,8
20,27,3,7,20,22,0,3.7,0,0,1,1,16
11,12,0,15,25,27,1,0.11,0,1,0,0,15
22,3,11,1,28,19,1,0.36,0,1,1,0,0
8,18,20,7,27,25,0,0.67,0,0,1,1,13
7,23,15,2,1,17,0,56.74,0,0,1,1,13
9,8,27,20,12,19,1,0.05,1,0,1,1,3
17,22,10,6,20,9,1,1.27,0,1,0,0,20
25,20,0,26,18,8,0,0.12,0,1,1,1,14
22,9,19,24,24,8,0,0.2,0,1,1,1,0
4,28,17,2,21,12,1,0.03,0,1,1,1,34
22,4,14,20,24,25,0,2154.47,0,0,0,0,-2
5,1,6,13,10,13,0,0.46,0,0,1,0,-4
3,0,18,24,20,1,1,4.65,1,0,0,0,0
7,21,14,17,16,0,1,1.19,1,0,0,0,13
28,14,1,20,6,24,1,6.65,0,1,0,0,13
6,6,23,24,0,19,0,1.67,0,0,1,1,-3
6,8,10,28,14,12,1,8.76,0,0,1,0,0
21,9,16,23,12,25,1,0.05,1,0,0,0,15
5,15,5,10,18,12,1,158.65,0,0,1,1,18
14,27,9,20,23,4,1,15.74,1,0,1,0,8
4,5,17,7,19,11,1,0.01,0,0,1,0,-6
28,12,1,25,15,10,0,4.52,1,0,0,0,6
2,5,12,10,7,0,1,1543.11,1,0,1,1,2
7,19,19,19,10,4,1,22.61,0,0,0,0,4
8,23,20,23,24,13,1,0.0,0,1,1,0,19
14,1,7,2,21,3,0,21.46,1,0,1,1,7
1,25,22,5,3,2,1,8.33,1,0,0,0,22
25,16,5,19,13,12,0,0.08,0,1,1,1,7
19,28,22,5,12,10,1,0.5,0,1,0,0,15
19,4,23,28,11,12,1,0.22,0,0,0,0,-6
27,20,21,24,4,5,0,0.14,1,0,1,1,22
20,8,17,0,10,19,1,99.39,1,0,0,0,11
22,1,27,19,2,14,0,0.32,0,1,1,0,-6
23,7,7,20,16,4,0,4.4,1,0,1,0,-1
15,11,2,22,8,25,1,1.0,1,0,0,0,15
3,15,6,11,8,6,0,0.23,1,0,1,1,9
8,17,8,13,26,4,1,0.66,1,0,0,0,18
14,7,4,0,11,11,0,0.77,1,0,0,0,1
16,8,3,5,13,2,0,7.78,0,0,0,0,3
13,11,8,6,25,10,1,0.06,0,1,0,0,2
4,22,28,10,21,27,1,2.34,0,1,0,0,14
13,2,9,1,22,12,0,0.01,0,1,0,0,13
8,26,5,16,20,27,0,0.25,1,0,1,1,29
16,3,6,8,25,17,1,1.0,1,0,0,0,4
14,21,10,15,21,13,1,20.97,1,0,0,0,5
16,20,13,11,26,18,0,3.75,0,0,1,0,17
8,10,14,14,14,21,1,0.0,0,1,1,0,12
7,10,11,6,0,8,1,3.2,1,0,0,0,13
3,19,6,15,17,21,0,0.06,0,1,1,1,13
24,16,3,2,26,9,1,0.13,0,0,1,1,11
15,7,20,16,18,19,0,0.0,1,0,0,0,16
28,1,4,1,11,20,0,20.34,0,1,0,0,-3
23,2,6,23,14,3,0,0.24,1,0,1,0,-4
24,3,10,0,26,27,0,10.22,1,0,1,0,10
16,18,26,13,6,23,1,92.66,0,0,1,1,21
8,7,4,8,3,23,0,0.23,1,0,1,1,15
12,12,14,4,20,27,1,7.12,0,0,0,0,7
8,22,24,3,24,0,1,18.17,1,0,0,0,14
2,21,8,15,2,8,1,228.95,0,0,1,1,9
22,7,12,4,5,16,1,0.08,0,1,0,0,6
15,8,25,3,8,25,1,7.87,0,0,0,0,3
18,6,2,16,14,4,0,122.19,0,0,0,0,7
1,2,20,9,11,24,0,0.4,1,0,0,0,12
16,22,12,17,13,5,1,0.13,0,0,1,1,27
11,8,11,13,14,15,0,0.39,0,1,1,1,9
0,22,16,27,10,2,1,442.18,1,0,0,0,15
25,16,24,7,24,1,1,1.68,0,0,0,0,5
16,24,28,1,4,18,0,0.9,0,0,0,0,21
7,7,26,11,13,0,0,1.41,1,0,1,1,14
2,7,28,15,16,22,1,0.25,1,0,1,1,5
18,8,0,12,21,12,1,49.66,1,0,1,0,2
28,20,5,24,26,26,0,0.05,0,0,0,0,19
26,9,10,26,8,20,1,0.34,0,1,1,1,7
16,4,9,21,12,4,1,0.01,0,0,1,1,6
2,4,10,8,12,1,1,23.51,0,1,0,0,-6
11,16,9,0,24,18,0,0.03,0,0,1,1,13
15,1,23,1,13,1,1,0.11,1,0,1,0,1
20,27,20,16,27,25,1,7.93,1,0,0,0,25
28,23,27,7,13,25,0,42.34,0,1,1,1,18
0,2,5,12,12,7,1,6.86,1,0,0,0,-4
10,9,10,10,4,13,0,25.98,0,1,1,0,0
20,24,19,16,3,6,0,0.43,1,0,0,0,9
18,1,19,21,16,7,0,1.4,0,0,0,0,-1
19,11,12,21,8,23,1,2.46,0,1,0,0,8
22,14,5,2,26,1,0,0.03,0,1,0,0,9
25,19,6,17,26,5,1,0.27,0,0,0,0,14
0,10,17,17,14,6,0,11.47,0,0,1,1,5
5,6,19,21,19,26,0,0.11,0,1,1,0,0
8,3,19,4,8,11,1,0.47,1,0,0,0,9
16,24,26,16,9,27,0,0.14,0,1,0,0,18
21,2,8,11,25,21,1,53.49,0,0,1,1,11
28,10,27,7,7,20,1,52.59,0,1,1,0,0
20,2,9,2,6,3,0,2.24,1,0,0,0,7
18,9,8,18,14,27,1,13.03,0,1,0,0,15
11,21,12,5,17,4,0,0.03,0,0,0,0,20
25,13,11,14,16,9,0,145.93,0,1,1,1,5
5,24,24,18,0,5,1,14.76,1,0,1,1,10
17,24,18,18,12,13,0,5.82,0,1,0,0,15
17,26,13,0,24,14,0,5.47,0,0,0,0,19
15,21,5,16,6,13,0,0.0,0,1,0,0,3
9,8,9,17,25,21,1,1224.63,0,0,1,1,15
13,11,16,10,7,0,1,209.37,1,0,0,0,8
0,8,19,5,1,25,0,0.58,1,0,1,0,6
1,16,0,13,15,20,0,0.67,0,1,1,1,24
22,2,2,23,26,2,0,5.84,0,1,1,1,8
15,21,16,27,23,27,1,0.37,0,0,0,0,19
10,4,25,11,9,4,0,0.05,1,0,1,0,-1
25,17,16,2,14,6,0,0.07,0,1,0,0,16
10,18,4,21,13,28,0,285.96,0,1,0,0,6
17,6,14,9,7,2,0,21.08,0,0,1,0,-3
6,1,6,3,20,14,0,2.99,0,0,0,0,8
25,14,12,10,18,21,0,485.59,0,0,0,0,8
18,0,28,24,16,9,0,1.69,1,0,0,0,7
20,1,2,13,21,23,0,6.53,0,0,1,1,4
8,20,28,6,3,13,0,0.31,0,1,1,1,24
20,12,24,23,7,0,0,0.17,0,1,0,0,13
28,28,20,12,18,18,0,0.82,0,0,0,0,8
23,28,25,11,0,11,1,2.41,1,0,0,0,12
15,26,27,18,24,6,0,17.97,1,0,0,0,10
27,23,5,9,4,7,0,0.07,0,0,0,0,10
17,6,26,6,19,1,0,0.06,0,1,1,1,5
17,22,5,20,10,25,0,0.04,0,0,1,1,24
8,21,5,19,3,15,1,1.34,0,0,1,0,19
17,6,12,19,20,1,1,0.23,1,0,0,0,-5
28,0,9,19,3,14,0,1.13,0,0,0,0,-2
9,24,26,11,4,5,1,15.24,0,1,0,0,18
4,8,12,4,2,18,0,2.27,1,0,1,0,5
7,10,1,9,12,2,0,25.07,0,0,0,0,16
16,6,20,10,3,0,0,0.0,0,0,0,0,-2
2,21,27,17,22,19,1,7.38,0,1,0,0,22
24,5,3,28,20,20,1,2.17,1,0,1,0,-5
25,5,0,6,16,11,0,58.72,1,0,1,1,4
26,4,13,28,0,7,0,0.02,0,1,1,1,4
28,4,20,7,25,28,1,0.04,0,0,0,0,8
27,2,16,1,21,4,1,0.01,0,0,1,0,-1
8,5,15,25,28,28,1,4.22,0,1,0,0,11
10,10,25,6,13,9,1,7.42,1,0,1,1,19
12,10,13,8,5,27,0,0.33,0,1,0,0,4
26,13,8,27,25,10,0,0.42,0,1,1,1,1
2,17,2,1,28,16,0,0.74,0,0,0,0,10
13,11,21,26,6,0,0,0.0,1,0,0,0,9
5,0,25,27,2,4,0,1.23,1,0,0,0,-1
7,28,7,7,3,0,1,0.1,0,1,1,0,21
27,22,19,15,8,14,0,9.34,1,0,0,0,17
27,25,23,2,7,6,0,0.58,1,0,0,0,22
27,17,6,26,23,11,1,5.27,1,0,0,0,14
28,9,26,6,16,2,0,0.13,1,0,0,0,5
26,23,4,9,1,15,1,1.85,0,0,1,1,28
15,15,26,4,3,24,1,1.56,0,0,0,0,20
28,4,21,6,4,16,1,7.15,0,1,1,1,2
16,26,11,3,25,22,1,4.47,0,0,0,0,21
22,23,8,5,14,19,0,20.51,1,0,0,0,13
20,22,9,21,17,23,0,2.71,0,1,1,1,16
19,13,28,0,16,22,0,3.14,1,0,0,0,13
4,23,17,25,9,6,0,0.14,1,0,0,0,11
6,28,10,26,25,12,0,9.83,0,0,1,1,24
0,14,5,2,27,20,0,0.27,0,0,0,0,9
13,18,27,11,1,26,0,574.54,0,1,1,1,8
6,2,22,15,8,2,0,0.46,1,0,0,0,-3
7,4,10,28,19,13,0,0.56,0,0,1,1,7
8,5,3,24,4,25,1,0.0,0,1,0,0,-5
27,13,13,20,13,0,1,66.5,0,0,0,0,16
3,14,8,11,26,19,0,40.51,1,0,1,0,6
1,22,3,10,27,13,1,1.24,0,0,1,1,18
8,22,0,5,18,6,1,0.03,0,1,1,1,17
3,24,26,18,20,22,1,8.8,0,1,1,1,28
2,8,25,25,6,12,1,5.03,0,1,0,0,1
7,13,25,25,24,13,1,0.88,0,0,1,1,17
17,4,7,7,11,6,0,1.93,1,0,0,0,14
19,19,10,15,6,9,0,5.71,0,0,0,0,19
11,25,20,3,13,12,1,9.86,1,0,0,0,13
25,9,14,21,0,3,1,0.28,0,1,0,0,3
17,16,13,28,25,28,0,0.0,0,1,1,1,13
4,14,28,10,15,20,0,4.44,0,0,1,1,21
17,5,14,19,1,8,1,0.63,0,1,0,0,4
1,11,19,0,13,27,1,0.09,0,1,0,0,18
25,17,15,10,18,19,1,13.29,0,1,1,1,6
13,1,23,20,0,3,1,0.01,1,0,0,0,-2
23,8,21,12,21,20,1,0.6,0,0,0,0,8
3,7,12,26,0,2,1,416.61,1,0,0,0,0
12,2,23,17,9,5,0,3.06,1,0,1,0,-4
12,24,23,21,28,23,0,1.91,0,0,1,1,9
17,0,1,27,12,5,0,376.83,0,0,0,0,-2
12,1,20,27,27,20,0,1.18,1,0,0,0,-3
1,19,0,15,22,1,0,31.84,0,0,1,0,13
7,25,28,21,10,24,1,51.59,0,0,1,1,13
27,11,18,21,8,17,0,0.0,1,0,0,0,15
11,10,10,21,24,24,1,1.21,1,0,0,0,0
7,21,5,22,1,25,1,0.01,0,0,1,1,18
15,10,15,6,9,11,1,3.61,0,0,1,0,-1
22,4,27,17,14,2,0,0.73,0,0,0,0,7
7,27,27,13,1,3,0,0.08,1,0,0,0,4
18,10,26,15,17,2,0,2.85,0,1,1,0,9
3,22,20,6,0,23,1,9.44,0,0,0,0,23
13,27,17,16,7,14,1,0.04,1,0,1,1,24
12,27,4,12,1,28,1,2.31,0,1,0,1,9
6,11,5,20,17,1,0,0.11,1,0,1,1,6
4,12,15,0,14,15,0,1.78,1,0,1,1,11
17,19,14,18,14,14,1,9.84,1,0,1,1,19
20,21,16,7,6,12,1,22.02,0,0,1,1,22
12,5,24,13,13,28,0,48.21,1,0,0,0,14
22,23,27,7,2,17,0,0.36,0,1,0,0,4
24,1,2,28,9,24,1,0.63,0,1,0,0,-7
13,4,13,10,18,24,1,0.01,0,1,1,1,11
20,2,12,20,20,20,0,0.08,1,0,0,0,11
19,18,18,9,25,8,1,38.37,1,0,0,0,7
24,26,18,4,27,16,0,13.44,0,0,0,0,9
13,0,19,24,10,0,1,0.02,0,0,0,0,10
19,8,16,19,28,16,0,0.11,1,0,0,0,4
14,6,15,11,2,4,0,25.52,0,0,0,0,9
1,24,18,0,12,18,0,2.12,0,0,1,1,25
1,23,0,7,9,28,1,9.76,1,0,1,1,19
3,4,28,8,21,8,0,0.18,1,0,1,0,0
14,17,21,16,26,5,0,0.5,1,0,1,0,14
21,15,2,25,20,21,1,12.02,1,0,0,0,10
2,16,21,16,3,5,0,0.65,0,0,1,0,19
3,19,4,0,8,8,1,0.25,0,1,0,0,23
15,11,0,7,14,2,0,1.13,0,1,0,0,4
19,14,14,24,7,25,1,0.94,0,0,0,0,10
7,21,1,28,7,26,0,11.28,0,1,0,0,13
16,9,17,22,24,17,0,0.01,1,0,0,0,7
20,26,11,9,21,23,1,4.22,1,0,0,0,8
18,18,7,14,6,19,1,0.54,0,1,1,0,18
9,1,1,7,10,9,0,0.12,0,1,0,0,-8
27,16,8,12,17,2,0,0.7,0,0,1,1,18
16,15,6,19,21,28,1,22.76,1,0,1,0,10
21,5,24,17,12,11,1,0.11,1,0,0,0,2
8,28,19,11,2,19,0,0.01,0,1,0,0,19
4,22,2,16,12,0,0,4.04,0,0,0,0,13
3,24,19,0,13,28,1,114.12,0,1,1,0,17
8,11,25,26,13,12,1,0.35,1,0,1,1,7
3,16,25,6,19,7,0,0.09,1,0,0,0,15
1,13,12,25,8,10,0,2.28,0,0,1,0,2
5,1,12,16,14,16,0,0.38,1,0,0,0,7
25,18,23,8,13,23,0,4.47,0,1,1,1,11
15,12,18,22,8,23,0,10.46,0,0,0,0,9
17,18,25,5,15,6,0,4.79,0,1,0,0,15
18,10,23,21,25,3,0,0.27,0,0,1,1,3
9,27,3,22,17,4,1,7.5,0,0,1,1,27
26,13,25,17,8,3,1,2585.14,1,0,1,1,7
16,11,20,22,17,1,1,44.19,1,0,1,1,15
13,9,11,28,17,18,0,0.03,0,1,1,1,5
12,12,12,17,17,28,1,0.54,1,0,0,0,2
14,28,15,24,22,9,1,1.01,0,1,1,1,21
1,2,22,25,12,17,1,0.25,0,0,0,0,2
18,28,7,15,18,16,1,0.65,0,0,0,0,14
1,12,22,4,10,0,1,0.25,0,0,0,0,14
9,10,7,11,17,15,0,0.75,1,0,0,0,0
21,10,5,14,20,19,1,0.29,0,1,1,1,13
7,10,16,8,13,7,0,526.14,0,0,1,1,0
5,17,14,19,22,2,0,1.26,1,0,0,0,18
2,17,15,17,18,12,0,2.13,0,0,0,0,8
16,26,3,11,9,20,0,0.07,0,1,0,0,21
17,3,24,23,8,22,1,8.97,1,0,0,0,8
19,18,22,20,8,6,1,11.42,0,0,1,1,12
6,18,25,10,2,7,1,47.77,0,1,0,0,15
13,3,9,18,7,8,0,0.2,1,0,1,0,9
4,9,21,2,21,8,0,51.3,0,1,0,0,14
0,16,7,6,1,22,0,4.89,0,1,1,1,14
17,0,11,12,7,26,1,0.07,0,1,1,1,3
16,22,24,20,0,12,1,0.65,0,0,0,0,6
7,12,0,9,13,9,0,0.58,0,0,1,1,9
13,8,2,24,27,8,1,86.14,1,0,1,1,14
0,20,19,18,23,2,1,0.0,0,1,1,1,11
6,28,17,4,17,5,0,6.93,0,0,0,0,19
2,4,13,3,18,22,1,25.12,0,0,0,0,7
17,0,15,0,7,13,0,11.01,1,0,0,0,9
17,24,21,11,0,4,0,0.0,1,0,1,0,18
7,7,28,20,2,28,0,12.98,0,0,1,0,-3
22,9,13,24,13,9,0,0.01,0,0,1,1,8
15,2,2,14,5,17,1,0.07,0,0,1,1,12
13,16,23,17,3,28,0,1.57,0,0,0,0,6
3,0,28,22,15,21,1,0.11,0,0,0,0,7
8,23,4,13,8,16,0,7.68,0,0,0,0,3
17,24,15,24,23,18,1,22.64,0,0,0,0,20
27,3,6,4,13,10,1,0.05,0,0,0,0,-4
16,28,0,25,13,1,0,2.59,0,1,0,0,12
22,24,0,18,12,27,0,0.05,1,0,0,0,19
18,5,10,28,26,24,1,2.66,1,0,0,0,11
6,6,10,10,25,20,1,0.06,0,0,1,1,5
2,23,6,2,27,12,1,0.71,0,1,0,0,15
11,27,14,18,12,13,1,0.02,0,0,0,0,23
2,8,2,14,0,25,1,27.59,1,0,0,0,11
28,25,24,5,3,28,0,0.19,0,1,1,1,15
25,6,9,22,7,16,0,0.31,0,1,0,0,2
27,11,13,3,17,14,0,66.74,0,0,1,0,0
4,27,0,6,11,27,0,0.02,0,0,1,1,22
8,12,19,1,4,11,1,0.55,0,0,1,1,8
16,20,3,25,6,21,0,3.25,0,1,0,0,5
1,17,26,27,19,18,1,79.27,0,1,1,0,9
28,12,9,22,10,28,0,4.17,0,0,1,1,11
7,2,22,7,6,7,1,0.12,0,0,0,0,-4
24,14,1,24,1,0,0,0.45,0,1,0,0,8
25,17,16,9,26,10,1,138.44,0,0,0,0,4
0,13,20,7,2,7,1,52.4,1,0,0,0,4
6,3,22,27,7,27,1,0.23,0,1,1,1,8
25,27,25,14,24,20,0,16.47,0,1,1,1,17
28,0,25,19,14,28,0,0.17,0,1,0,0,0
23,18,25,6,8,26,1,2.22,0,0,0,0,18
10,3,21,18,14,14,0,0.7,0,0,0,0,-1
17,14,1,0,18,22,0,0.0,1,0,1,1,6
25,7,12,7,8,2,0,0.06,0,1,1,1,12
1,0,2,7,24,5,1,4219.92,1,0,0,0,1
28,14,13,18,7,19,1,0.02,0,0,0,0,5
3,5,12,3,0,11,1,0.85,0,1,0,0,-1
25,7,24,13,25,26,0,3.89,0,1,1,0,3
5,10,27,25,24,25,1,17.94,1,0,0,0,9
13,3,22,4,25,28,1,1.06,0,1,0,0,-6
6,3,2,13,11,13,0,0.0,0,0,1,1,8
28,22,5,2,8,10,1,1.99,0,0,1,1,10
0,16,11,21,6,17,0,0.4,0,0,1,1,10
18,26,12,11,24,8,0,0.06,0,0,1,1,16
4,13,4,11,19,8,1,8.32,1,0,1,0,13
13,23,26,6,10,16,0,0.03,0,1,1,0,5
14,16,22,26,3,15,1,0.96,0,1,1,1,3
2,2,13,7,15,0,0,14.6,1,0,0,0,13
4,27,26,3,6,12,0,0.01,0,1,0,0,19
27,16,26,3,1,7,0,14.05,0,0,0,0,2
21,6,11,1,26,22,0,13.17,0,1,0,0,5
2,7,3,27,6,20,0,25.01,0,0,1,0,0
20,21,9,20,22,12,1,0.16,0,1,1,1,22
26,24,7,1,11,27,0,0.23,0,1,1,1,12
7,27,0,28,28,26,0,0.61,0,0,0,0,11
4,23,25,4,20,8,1,0.02,0,0,0,0,13
1,12,9,10,22,2,0,10.45,0,1,0,0,2
21,5,2,28,2,1,0,2.74,0,0,1,0,-3
25,28,7,3,1,21,0,0.25,0,0,1,1,35
21,18,16,15,12,7,0,0.06,1,0,0,0,21
13,21,13,12,7,13,0,0.06,0,0,0,0,6
20,3,0,26,11,23,0,2.01,0,0,0,0,5
15,24,25,0,22,20,1,77.77,1,0,0,0,22
3,13,12,24,8,1,0,0.02,0,0,0,0,10
15,26,10,14,22,6,1,0.05,1,0,1,1,22
18,17,16,8,11,16,0,2.65,0,1,0,0,12
8,13,5,2,21,0,0,1.16,0,0,0,0,13
27,19,12,4,28,15,0,2.54,0,1,1,0,4
19,1,5,11,22,12,1,14.46,0,0,0,0,-2
10,16,12,25,0,3,1,0.73,0,0,1,1,12
25,20,1,3,10,0,1,0.13,0,0,0,0,7
12,4,8,25,27,0,0,1082.36,0,0,0,0,-6
6,1,20,14,11,17,0,2.62,0,0,1,0,-3
9,28,2,24,18,0,0,0.92,0,0,1,0,16
4,24,1,4,17,22,0,0.0,1,0,1,1,22
1,1,9,4,0,12,1,49.16,0,1,0,0,-1
28,20,4,7,19,7,1,0.09,0,1,0,0,19
4,7,27,2,14,5,1,8.97,0,0,1,1,3
19,23,13,5,19,24,1,1.78,0,1,1,1,24
0,25,19,17,27,3,0,1.28,0,0,0,0,9
15,8,22,16,28,11,0,0.23,0,0,1,0,0
28,17,2,23,4,20,0,2.15,0,0,1,1,16
18,19,17,15,9,17,1,2.51,0,0,1,1,11
10,21,17,19,6,9,0,0.01,1,0,0,0,10
24,7,12,21,19,17,1,2.34,0,1,0,0,5
1,14,20,0,4,21,1,0.01,0,0,0,0,14
14,16,1,25,3,11,1,1.44,0,1,1,0,5
17,26,12,15,11,16,0,0.43,0,1,0,0,22
19,14,15,5,7,3,0,10.36,1,0,0,0,9
11,16,10,25,26,22,0,1.8,1,0,0,0,14
27,14,17,14,15,0,1,0.01,0,1,0,0,19
0,6,5,26,20,24,0,504.04,1,0,1,1,0
0,1,20,23,26,12,1,42.16,0,0,0,0,-5
15,19,16,21,3,11,0,10.06,0,0,0,0,11
10,28,7,25,26,25,0,0.65,1,0,1,0,27
28,25,21,15,22,20,1,10.44,1,0,0,0,6
26,18,28,26,5,7,1,0.04,1,0,1,1,7
2,4,21,18,1,25,1,0.03,1,0,1,0,-2
6,4,4,16,8,26,1,0.01,0,0,1,0,14
19,11,23,23,14,8,1,64.97,0,0,1,0,-1
15,3,18,13,5,18,0,0.56,0,1,0,0,4
6,13,10,18,14,4,0,2.6,1,0,1,1,7
11,8,19,10,16,1,0,0.48,0,0,0,0,10
28,10,24,28,20,11,0,0.17,0,1,1,0,2
4,17,15,1,15,4,0,0.1,0,1,1,1,20
9,22,15,10,4,12,1,0.72,1,0,1,1,28
27,4,8,21,3,19,0,1.12,0,1,0,0,8
0,12,7,17,14,13,1,3.1,0,0,0,0,8
23,4,18,5,14,5,1,1.84,0,0,0,0,8
18,21,12,13,0,11,0,5064.25,0,0,0,0,4
18,20,14,21,11,21,1,0.31,0,0,0,0,4
3,28,7,11,27,8,0,1.53,1,0,0,0,21
6,28,0,14,6,3,0,0.67,1,0,1,0,20
5,11,9,20,23,9,0,0.46,0,1,0,0,0
24,23,14,8,22,28,0,0.71,1,0,0,0,2
2,22,8,22,22,4,0,0.31,0,1,0,0,4
11,10,23,13,6,4,0,0.93,1,0,0,0,8
20,13,1,8,18,9,1,6.14,0,1,0,0,11
23,16,6,2,9,2,1,6.07,0,0,0,0,17
12,28,26,12,9,5,0,0.96,1,0,0,0,25
3,18,11,18,25,12,0,25.89,1,0,0,0,17
12,25,28,6,15,24,0,18.83,0,1,0,0,17
8,11,23,18,13,17,0,0.02,1,0,0,0,10
23,28,8,6,15,12,0,0.04,1,0,0,0,24
12,10,13,10,28,3,0,4.94,0,0,1,1,2
13,3,17,24,3,28,1,309.01,0,0,0,0,1
23,18,21,8,25,2,0,0.71,1,0,1,1,17
20,11,11,20,1,18,0,3.77,0,0,0,0,5
7,22,7,26,0,17,1,0.6,0,0,0,0,10
20,3,27,7,17,9,0,3.22,0,0,1,0,-4
17,7,10,26,11,16,0,15.73,1,0,0,0,7
24,7,12,15,22,19,1,0.0,1,0,0,0,1
9,8,9,16,23,6,0,28.67,0,1,1,1,3
11,19,17,12,18,25,1,0.0,0,0,1,1,17
17,7,20,22,28,14,1,0.33,1,0,0,0,9
15,24,8,28,21,22,1,3.51,0,1,0,0,18
13,27,3,22,25,19,1,9.15,0,1,0,0,23
15,25,20,4,24,23,0,0.02,0,1,1,1,16
11,5,1,11,13,26,1,170.4,0,1,0,0,13
6,1,16,15,26,6,0,1398.08,1,0,0,0,8
17,20,15,1,17,25,1,99.57,1,0,1,1,27
21,24,5,9,15,3,0,0.02,1,0,1,1,30
23,1,11,20,2,27,1,0.37,1,0,0,0,7
10,14,9,22,12,3,0,3.88,0,1,1,0,10
25,15,8,12,11,0,1,2.44,0,0,0,0,8
17,27,11,5,5,11,0,18.42,1,0,1,1,33
21,15,21,8,20,19,0,9.7,1,0,0,0,13
26,18,5,8,20,26,0,0.42,1,0,1,1,21
16,17,17,0,28,25,0,0.01,1,0,0,0,14
15,23,25,17,8,12,1,0.11,1,0,0,0,6
16,15,20,18,8,15,1,34.14,0,0,1,1,16
13,26,0,0,3,13,0,53.56,0,0,1,1,27
6,14,28,22,15,7,0,0.9,1,0,0,0,18
12,23,5,23,17,15,1,0.48,1,0,1,1,19
13,21,27,17,2,23,0,2.26,0,0,1,1,19
2,10,1,26,12,16,0,48.77,1,0,1,1,4
0,9,4,28,13,13,0,39.16,0,1,1,1,10
20,12,14,7,8,6,0,3.4,0,1,1,1,2
6,5,23,10,4,26,0,263.38,0,0,1,1,7
2,1,0,27,16,17,0,2.76,1,0,0,0,8
19,7,4,28,19,5,1,0.13,1,0,0,0,5
12,23,10,12,24,11,1,0.28,0,0,0,0,7
5,23,14,12,7,0,0,6.0,1,0,1,1,20
10,3,15,17,23,2,1,0.2,0,0,1,0,4
13,23,19,17,11,26,0,0.29,1,0,0,0,10
18,24,0,23,22,24,1,1.83,0,0,0,0,13
18,25,5,10,27,24,0,5.76,0,1,0,0,21
22,13,25,12,11,3,0,4.29,1,0,1,1,8
2,23,22,21,24,7,1,2.33,0,0,1,0,12
5,17,3,21,19,15,0,0.01,1,0,0,0,11
4,0,12,0,0,25,0,10.87,1,0,1,1,9
4,2,13,27,7,2,1,40.36,0,1,0,0,5
11,11,25,0,9,22,0,0.01,1,0,1,1,21
14,7,23,24,12,24,0,14.37,0,0,1,0,0
16,3,6,21,3,18,1,0.81,1,0,0,0,7
19,15,20,10,4,4,1,0.07,0,1,0,0,11
6,25,0,28,15,6,0,45.34,0,0,1,1,10
9,10,28,13,10,18,1,0.39,0,0,0,0,9
10,8,3,4,12,12,1,4.16,0,0,0,0,6
13,4,0,19,23,23,1,228.53,1,0,1,1,10
11,19,26,11,23,9,1,15.61,0,1,1,1,21
12,18,8,13,15,14,0,1.05,0,1,0,0,17
13,16,0,22,7,9,1,0.07,0,0,0,0,0
22,20,1,27,14,24,0,1.78,0,0,1,1,19
4,22,21,3,14,4,1,0.0,1,0,0,0,13
11,5,28,18,24,26,0,0.85,0,1,1,1,4
11,6,20,16,0,0,1,37.28,1,0,0,0,1
3,27,15,20,6,26,1,0.93,0,0,0,0,24
1,23,22,6,28,10,0,46.14,0,1,0,0,16
15,0,26,11,13,1,1,1.75,1,0,0,0,10
15,2,7,1,21,17,1,707.62,0,1,0,0,0
25,28,17,28,10,4,1,0.01,1,0,0,0,16
16,9,19,12,25,24,1,1.97,0,1,0,0,10
15,2,11,9,6,20,0,0.21,1,0,1,1,13
19,9,25,27,17,11,1,1.43,1,0,0,0,8
9,28,5,0,15,4,1,0.04,0,1,0,0,26
25,1,28,26,6,9,0,0.07,1,0,0,0,-3
3,12,21,18,12,3,0,13.13,0,0,0,0,8
15,13,21,20,23,7,0,0.73,1,0,1,1,6
7,19,26,28,13,14,1,1.05,1,0,1,1,13
21,21,1,15,23,6,1,0.18,1,0,0,0,12
